Council Name,Council Type,Year,Month,ESB Connection
Cork,City Council,2006,Jan,39
Cork,City Council,2006,Feb,22
Cork,City Council,2006,Mar,93
Cork,City Council,2006,Apr,31
Cork,City Council,2006,May,162
Cork,City Council,2006,Jun,110
Cork,City Council,2006,Jul,57
Cork,City Council,2006,Aug,141
Cork,City Council,2006,Sept,96
Cork,City Council,2006,Oct,103
Cork,City Council,2006,Nov,108
Cork,City Council,2006,Dec,103
Dublin,City Council,2006,Jan,757
Dublin,City Council,2006,Feb,618
Dublin,City Council,2006,Mar,560
Dublin,City Council,2006,Apr,225
Dublin,City Council,2006,May,496
Dublin,City Council,2006,Jun,717
Dublin,City Council,2006,Jul,685
Dublin,City Council,2006,Aug,783
Dublin,City Council,2006,Sept,847
Dublin,City Council,2006,Oct,690
Dublin,City Council,2006,Nov,755
Dublin,City Council,2006,Dec,613
Galway,City Council,2006,Jan,68
Galway,City Council,2006,Feb,107
Galway,City Council,2006,Mar,57
Galway,City Council,2006,Apr,72
Galway,City Council,2006,May,199
Galway,City Council,2006,Jun,75
Galway,City Council,2006,Jul,48
Galway,City Council,2006,Aug,55
Galway,City Council,2006,Sept,229
Galway,City Council,2006,Oct,137
Galway,City Council,2006,Nov,142
Galway,City Council,2006,Dec,86
Limerick,City Council,2006,Jan,19
Limerick,City Council,2006,Feb,10
Limerick,City Council,2006,Mar,80
Limerick,City Council,2006,Apr,32
Limerick,City Council,2006,May,17
Limerick,City Council,2006,Jun,22
Limerick,City Council,2006,Jul,17
Limerick,City Council,2006,Aug,11
Limerick,City Council,2006,Sept,40
Limerick,City Council,2006,Oct,12
Limerick,City Council,2006,Nov,50
Limerick,City Council,2006,Dec,79
Waterford,City Council,2006,Jan,69
Waterford,City Council,2006,Feb,33
Waterford,City Council,2006,Mar,91
Waterford,City Council,2006,Apr,34
Waterford,City Council,2006,May,63
Waterford,City Council,2006,Jun,68
Waterford,City Council,2006,Jul,116
Waterford,City Council,2006,Aug,82
Waterford,City Council,2006,Sept,42
Waterford,City Council,2006,Oct,82
Waterford,City Council,2006,Nov,85
Waterford,City Council,2006,Dec,63
Carlow,County Council,2006,Jan,70
Carlow,County Council,2006,Feb,81
Carlow,County Council,2006,Mar,113
Carlow,County Council,2006,Apr,56
Carlow,County Council,2006,May,97
Carlow,County Council,2006,Jun,125
Carlow,County Council,2006,Jul,158
Carlow,County Council,2006,Aug,141
Carlow,County Council,2006,Sept,96
Carlow,County Council,2006,Oct,142
Carlow,County Council,2006,Nov,182
Carlow,County Council,2006,Dec,60
Cavan,County Council,2006,Jan,149
Cavan,County Council,2006,Feb,208
Cavan,County Council,2006,Mar,197
Cavan,County Council,2006,Apr,261
Cavan,County Council,2006,May,201
Cavan,County Council,2006,Jun,248
Cavan,County Council,2006,Jul,308
Cavan,County Council,2006,Aug,199
Cavan,County Council,2006,Sept,237
Cavan,County Council,2006,Oct,203
Cavan,County Council,2006,Nov,259
Cavan,County Council,2006,Dec,219
Clare,County Council,2006,Jan,171
